id,url,finalURL,status,contentType,lastModified,bytes,sha256,capturedAt,attempts,claimUse,stableReplacement,rightsStatus,accessibilityStatus,republishStatus,archiveObject,error,pdfMetadataExtractor,pdfMetadataExtractorVersion,pdfPageCount,pdfTitle,pdfAuthor,pdfCreationDate,pdfModificationDate,pdfMetadataExtractionError
"help-math-self-efficacy","https://www.helpprogram.net/DealerDocs/HELP%20Math%20self-efficacy%20in%20secondary%20students%20R.pdf","https://www.helpprogram.net/DealerDocs/HELP%20Math%20self-efficacy%20in%20secondary%20students%20R.pdf","200","application/pdf","Thu, 20 Jun 2024 19:49:25 GMT","594157","5e89b5b38e71740c285c5895ace2bc595b19169e43b436354ece61d4765118d8","2026-07-21T09:44:49.953Z","1","Historical HELP Math self-efficacy study locator","https://doi.org/10.1016/j.compedu.2011.11.003","pending","pending","pending","objects/sha256/5e/5e89b5b38e71740c285c5895ace2bc595b19169e43b436354ece61d4765118d8","","pdfinfo (Poppler)","26.05.0","2","","Alan Stern","2012-03-28T11:41:18-04","2012-03-28T11:41:18-04",""
"legacy-wwc-single-study-copy","https://www.helpprogram.net/DealerDocs/What%20Works%20Clearinghouse_help_102312.pdf","https://www.helpprogram.net/DealerDocs/What%20Works%20Clearinghouse_help_102312.pdf","200","application/pdf","Thu, 20 Jun 2024 19:49:26 GMT","153677","3ed42410b9e4ceb6cf04da0a74738642f6cd2a95ccfe55178647373695cc2fa1","2026-07-21T09:44:49.888Z","1","Legacy duplicate of the WWC single-study review","https://ies.ed.gov/ncee/wwc/Docs/SingleStudyReviews/wwc_help_102312.pdf","pending","pending","pending","objects/sha256/3e/3ed42410b9e4ceb6cf04da0a74738642f6cd2a95ccfe55178647373695cc2fa1","","pdfinfo (Poppler)","26.05.0","6","WWC Review of the Report “Help with English Language Proficiency ‘HELP’ Program Evaluation of Sheltered Instruction Multimedia Lessons”","What Works Clearinghouse","2012-10-16T09:31:05-04","2012-11-09T10:32:33-05",""
"scope-sequence-2012","https://www.helpprogram.net/DealerDocs/SCOPE%20and%20Sequence%202012.pdf","https://www.helpprogram.net/DealerDocs/SCOPE%20and%20Sequence%202012.pdf","200","application/pdf","Thu, 20 Jun 2024 19:49:25 GMT","154455","6e19c0f3de638238ac0215a92694b3b2bd15fc23d5bf8114447e9e8c2c71bd1a","2026-07-21T09:44:50.231Z","1","Historical 29-lesson elementary scope | Historical catalog edition reconciliation","","pending","pending","pending","objects/sha256/6e/6e19c0f3de638238ac0215a92694b3b2bd15fc23d5bf8114447e9e8c2c71bd1a","","pdfinfo (Poppler)","26.05.0","3","","Alan","2011-09-02T16:31:38Z","2011-09-02T16:31:38Z",""
"sheltered-scaffolding-2012","https://www.helpprogram.net/DealerDocs/Sheltered%20Instruction%20and%20scaffolding%20techniques%20in%20HELP%20Math%20final%202012.pdf","https://www.helpprogram.net/DealerDocs/Sheltered%20Instruction%20and%20scaffolding%20techniques%20in%20HELP%20Math%20final%202012.pdf","200","application/pdf","Thu, 20 Jun 2024 19:49:25 GMT","140332","5e3b381156c2fe216acc5711bc4e2172ad13ff41c83e8b987db1f53ec5651982","2026-07-21T09:44:50.276Z","1","Historical sheltered-instruction and scaffolding design description","","pending","pending","pending","objects/sha256/5e/5e3b381156c2fe216acc5711bc4e2172ad13ff41c83e8b987db1f53ec5651982","","pdfinfo (Poppler)","26.05.0","2","Sheltering/Scaffolding and HELP Math","Barbara  Freeman","2011-06-07T14:17:18Z","2011-06-07T14:17:18Z",""
"sheltered-sped-2012","https://www.helpprogram.net/DealerDocs/Sheltered%20Instruction%20and%20SPED%202012.pdf","https://www.helpprogram.net/DealerDocs/Sheltered%20Instruction%20and%20SPED%202012.pdf","200","application/pdf","Thu, 20 Jun 2024 19:49:25 GMT","118817","9ddb430bec655d1b9ad002586347122fb6c5cb6184cc3cbdae656844f5f93ff8","2026-07-21T09:44:50.591Z","1","Historical design context for learners needing added support","","pending","pending","pending","objects/sha256/9d/9ddb430bec655d1b9ad002586347122fb6c5cb6184cc3cbdae656844f5f93ff8","","pdfinfo (Poppler)","26.05.0","1","Sheltering/Scaffolding and HELP Math","Barbara  Freeman","2012-02-24T09:50:57-05","2012-02-24T09:50:57-05",""
"academic-language-integration","https://www.helpprogram.net/DealerDocs/INTEGRATION%20OF%20ACADEMIC%20LANGUAGE%20IN%20HELP%20MATH.pdf","https://www.helpprogram.net/DealerDocs/INTEGRATION%20OF%20ACADEMIC%20LANGUAGE%20IN%20HELP%20MATH.pdf","200","application/pdf","Thu, 20 Jun 2024 19:49:25 GMT","542853","7ae9fdd900e8c64f53240726f18987da1da4b095803091bcb5a4c810a3124c39","2026-07-21T09:44:50.733Z","1","Historical academic-language design description","","pending","pending","pending","objects/sha256/7a/7ae9fdd900e8c64f53240726f18987da1da4b095803091bcb5a4c810a3124c39","","pdfinfo (Poppler)","26.05.0","1","","Alan Stern","2012-09-20T17:55:34-04","2012-09-20T17:55:34-04",""
"reports-overview-2010","https://www.helpprogram.net/DealerDocs/HELP%20Math%20Overview%20of%20Reports%20%282010%29.pdf","https://www.helpprogram.net/DealerDocs/HELP%20Math%20Overview%20of%20Reports%20%282010%29.pdf","200","application/pdf","Thu, 20 Jun 2024 19:49:25 GMT","4209633","625ce35c8234f9ad37ce7d1350423d4b27732077e54e9b9089fd425a1f699ad1","2026-07-21T09:44:51.616Z","1","Historical educator reporting-tool description","","pending","pending","pending","objects/sha256/62/625ce35c8234f9ad37ce7d1350423d4b27732077e54e9b9089fd425a1f699ad1","","pdfinfo (Poppler)","26.05.0","9","HELP Suite of Reports 2010-10-11 DRAFT05","Robert MacLeay","2010-10-12T03:47:41Z","2010-10-11T21:48:15-06",""
"rti-solution-2012","https://www.helpprogram.net/DealerDocs/HELP%20Math%20as%20an%20RtI%20Solution%202012.pdf","https://www.helpprogram.net/DealerDocs/HELP%20Math%20as%20an%20RtI%20Solution%202012.pdf","200","application/pdf","Thu, 20 Jun 2024 19:49:24 GMT","569062","0ee94d916de76426ab7cfd3af967736f120b07dfbf9275fb916075ba00f6689e","2026-07-21T09:44:51.115Z","1","Historical RtI positioning","","pending","pending","pending","objects/sha256/0e/0ee94d916de76426ab7cfd3af967736f120b07dfbf9275fb916075ba00f6689e","","pdfinfo (Poppler)","26.05.0","3","","Alan Stern","2011-09-23T18:08:37Z","2011-09-23T18:08:37Z",""
"ed-week-article-copy","https://www.helpprogram.net/DealerDocs/Ed%20Week%20Article.pdf","https://www.helpprogram.net/DealerDocs/Ed%20Week%20Article.pdf","200","application/pdf","Thu, 20 Jun 2024 19:49:24 GMT","600748","fdeddafdb83a0688cb9d896fb32844883330d6b6cf1dcbeb20cefa167534d349","2026-07-21T09:44:51.486Z","1","Legacy copy of third-party period reporting","https://www.edweek.org/policy-politics/schools-face-shortage-of-digital-curricula-for-english-learners/2013/05","pending","pending","pending","objects/sha256/fd/fdeddafdb83a0688cb9d896fb32844883330d6b6cf1dcbeb20cefa167534d349","","pdfinfo (Poppler)","26.05.0","3","","","2013-05-24T11:08:39-04","2013-05-24T11:08:39-04",""
"technology-innovations-copy","https://www.helpprogram.net/DealerDocs/TechnologyInnovations.pdf","https://www.helpprogram.net/DealerDocs/TechnologyInnovations.pdf","200","application/pdf","Thu, 20 Jun 2024 19:49:26 GMT","131169","12324ac15e9c7ddb91315e5a101a8e2e2cf32d26601ce0069a4880277e9e4a07","2026-07-21T09:44:51.792Z","1","Legacy copy of third-party period context","https://lexingtoninstitute.org/wp-content/uploads/2013/11/TechnologyInnovations.pdf","pending","pending","pending","objects/sha256/12/12324ac15e9c7ddb91315e5a101a8e2e2cf32d26601ce0069a4880277e9e4a07","","pdfinfo (Poppler)","26.05.0","16","","","2013-01-08T15:55:18-05","2013-02-26T20:37:24-05",""
"sage-publications-copy","https://www.helpprogram.net/DealerDocs/Sage%20Publications%20article.pdf","https://www.helpprogram.net/DealerDocs/Sage%20Publications%20article.pdf","200","application/pdf","Thu, 20 Jun 2024 19:49:26 GMT","1797683","db0d73b6e3aab502eb2ccdf00e77081c9d640ee841a53c4101200c5b317c3304","2026-07-21T09:44:52.060Z","1","Legacy copy of historical curriculum-design article","https://eric.ed.gov/?id=EJ796893","pending","pending","pending","objects/sha256/db/db0d73b6e3aab502eb2ccdf00e77081c9d640ee841a53c4101200c5b317c3304","","pdfinfo (Poppler)","26.05.0","12","RASE309717 for WEB PDF.qxd","Administrator","2008-01-11T21:36:40+05:30","2009-07-23T07:16:03Z",""
"helpmath-brochure","https://www.helpprogram.net/DealerDocs/HelpMath%20print%208.5%20x%2011%20each.pdf","https://www.helpprogram.net/DealerDocs/HelpMath%20print%208.5%20x%2011%20each.pdf","200","application/pdf","Thu, 20 Jun 2024 19:49:25 GMT","2942245","4f35f77416e167616f9b45231eee8438c58822947fe0f50cd119dc2d1ca71b06","2026-07-21T09:44:52.554Z","1","Historical brochure and program overview","","pending","pending","pending","objects/sha256/4f/4f35f77416e167616f9b45231eee8438c58822947fe0f50cd119dc2d1ca71b06","","pdfinfo (Poppler)","26.05.0","4","","","2012-02-09T10:04:37-07","2012-02-09T10:04:39-07",""
"teacher-guide-nctm-2007","https://www.helpprogram.net/teacher_guide/HELP%20Alignment%20v3.1.2-%20NCTM.pdf","https://www.helpprogram.net/teacher_guide/HELP%20Alignment%20v3.1.2-%20NCTM.pdf","200","application/pdf","Thu, 20 Jun 2024 19:53:08 GMT","936403","254e45cffc7172db6fb25319c56f13d3f6c12f11dedc21eba0c9cbbb7cd7b9b1","2026-07-21T09:44:52.407Z","1","Historical four-strand middle-school catalog and 44 named lessons | Historical learner supports and educator tools | Historical catalog edition reconciliation","","pending","pending","pending","objects/sha256/25/254e45cffc7172db6fb25319c56f13d3f6c12f11dedc21eba0c9cbbb7cd7b9b1","","pdfinfo (Poppler)","26.05.0","24","Alignment to NCTM Standards Grades 6–8","Robert MacLeay (RMac@aol.com)","2007-04-16T16:58:30Z","2007-04-17T15:56:26-06",""
